Protein Id	Amount
P00915ups	5000
P00918ups	5000
P01031ups	5000
P69905ups	5000
P68871ups	5000
P41159ups	5000
P02768ups	5000
P62988ups	5000
P04040ups	500
P00167ups	500
P01133ups	500
P02144ups	500
P15559ups	500
P62937ups	500
Q06830ups	500
P63165ups	500
P00709ups	50
P06732ups	50
P12081ups	50
P61626ups	50
Q15843ups	50
P02753ups	50
P16083ups	50
P63279ups	50
P01008ups	5
P61769ups	5
P55957ups	5
O76070ups	5
P08263ups	5
P01344ups	5
P01127ups	5
P10599ups	5
P99999ups	0.5
P06396ups	0.5
P09211ups	0.5
P01112ups	0.5
P01579ups	0.5
P02787ups	0.5
O00762ups	0.5
P51965ups	0.5
P08758ups	0.05
P02741ups	0.05
P05413ups	0.05
P10145ups	0.05
P02788ups	0.05
P10636ups	0.05
P00441ups	0.05
P01375ups	0.05
