Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides UPS2_yeast	Razor + unique peptides UPS2_yeast	Unique peptides UPS2_yeast	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type UPS2_yeast	Sequence coverage UPS2_yeast [%]	Intensity	Intensity UPS2_yeast	iBAQ	iBAQ UPS2_yeast	LFQ intensity UPS2_yeast	MS/MS Count UPS2_yeast	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
REV__sp|P0C155|CBPS2_YEAST	REV__sp|P0C155|CBPS2_YEAST	1	1	1	>sp|P0C155|CBPS2_YEAST Putative carboxypeptidase YOL153C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOL153C PE=5 SV=1	1	1	1	1	1	1	1	0	0	0	65.092	581	581	1	6	0.0076746	1.2706	By MS/MS	0	490600000	490600000	非数字	非数字	566710000	5	5		+		0	6029	True	6132	22676;22677;22678;22679;22680;22681	22963;22964;22965;22966;22967	22963		
REV__sp|P20048|SEC59_YEAST	REV__sp|P20048|SEC59_YEAST	1	1	1	>sp|P20048|SEC59_YEAST Dolichol kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC59 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	58.905	519	519	1	4	0.009084	1.1374	By MS/MS	0	616790000	616790000	非数字	非数字	1206800000	3	3		+		1	5037	True	5109	19048;19049;19050;19051	19358;19359;19360	19358		
REV__sp|P37370|VRP1_YEAST	REV__sp|P37370|VRP1_YEAST	2	2	2	>sp|P37370|VRP1_YEAST Verprolin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VRP1 PE=1 SV=2	1	2	2	2	2	2	2	0	0	0	82.593	817	817	1	8	0.0031521	1.566	By MS/MS	0	697600000	697600000	非数字	非数字	910900000	5	5		+		2	2354;3834	True;True	2384;3887	8697;8698;8699;8700;8701;8702;14331;14332	8733;8734;8735;14519;14520	8734;14519		
REV__sp|P38814|SBE22_YEAST	REV__sp|P38814|SBE22_YEAST	1	1	1	>sp|P38814|SBE22_YEAST Protein SBE22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SBE22 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	96.397	852	852	1	4	0.0024174	1.7574	By MS/MS	0	137480000	137480000	非数字	非数字	221410000	1	1		+		3	5957	True	6060	22437;22438;22439;22440	22732	22732		
REV__sp|P40206|JLP2_YEAST	REV__sp|P40206|JLP2_YEAST	1	1	1	>sp|P40206|JLP2_YEAST Protein JLP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=JLP2 PE=1 SV=2	1	1	1	1	1	1	1	0	0	0	24.665	208	208	1	6	0.0016129	1.7741	By MS/MS	0	761440000	761440000	非数字	非数字	713960000	5	5		+		4	4382	True	4444	16497;16498;16499;16500;16501;16502	16678;16679;16680;16681;16682;16683	16682		
REV__sp|P42842|EMW1_YEAST	REV__sp|P42842|EMW1_YEAST	1	1	1	>sp|P42842|EMW1_YEAST Essential for maintenance of the cell wall protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMW1 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	102.34	904	904	1	6	0.0038941	1.4272	By MS/MS	0	940430000	940430000	非数字	非数字	1031700000	4	4		+		5	8452	True	8590	31903;31904;31905;31906;31907;31908	32539;32540;32541;32542	32540		
REV__sp|P43585|VTC2_YEAST	REV__sp|P43585|VTC2_YEAST	1	1	1	>sp|P43585|VTC2_YEAST Vacuolar transporter chaperone 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VTC2 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	95.44	828	828	1	1	0.00081169	1.8284	By MS/MS	0	50208000	50208000	非数字	非数字	136480000	1	1		+		6	7558	True	7679	28310	28830	28830		
REV__sp|P53128|MTHR2_YEAST	REV__sp|P53128|MTHR2_YEAST	1	1	1	>sp|P53128|MTHR2_YEAST Methylenetetrahydrofolate reductase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET13 PE=1 SV=2	1	1	1	1	1	1	1	0	0	0	68.559	600	600	1	3	1	-2	By MS/MS	0	101420000	101420000	非数字	非数字	119210000	1	1	+	+		7	4641	True	4706	17560;17561;17562	17827	17827	0	126
REV__sp|P53196|RPN14_YEAST	REV__sp|P53196|RPN14_YEAST	1	1	1	>sp|P53196|RPN14_YEAST 26S proteasome regulatory subunit RPN14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN14 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	46.382	417	417	1	3	0.0084227	1.2567	By MS/MS	0	1429200000	1429200000	非数字	非数字	2857700000	5	5		+		8	4614	True	4679	17446;17447;17448	17689;17690;17691;17692;17693	17692		
REV__sp|P53598|SUCA_YEAST	REV__sp|P53598|SUCA_YEAST	1	1	1	>sp|P53598|SUCA_YEAST Succinyl-CoA ligase [ADP-forming] subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSC1 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	35.032	329	329	1	6	0.0054096	1.3607	By MS/MS	0	215110000	215110000	非数字	非数字	215810000	3	3		+		9	8170	True	8301	30762;30763;30764;30765;30766;30767	31343;31344;31345	31344		
